ano;disciplina;alunos_distintos;media_notas;mediana_notas;menor_nota;maior_nota;quantidade_notas;frequencia_media;total_faltas_horas;percentual_notas_abaixo_6;registros
2024;DIARIO CLASSE TEPEC I 2A 2BIM 2024;15;6,05;7,0;0,0;9,3;15;86,67;60,0;20,0;15
2024;DIARIO CLASSE TEPEC I 2A 3BIM 2024;15;6,13;8,0;0,0;10,0;15;82,22;64,0;26,67;15
2024;DIARIO CLASSE TEPEC I 2A 4BIM 2024;15;5,93;7,0;0,0;10,0;15;82,22;56,0;33,33;15
2024;DIARIO CLASSE TEPEC I 2B 1BIM 2024;13;7,65;7,75;5,5;10,0;12;100,0;0,0;16,67;13
2024;DIARIO CLASSE TEPEC I 2B 2BIM 2024;13;6,49;7,15;0,0;8,3;12;94,44;20,0;16,67;13
2024;DIARIO CLASSE TEPEC I 2B 3BIM 2024;13;7,58;8,5;0,0;10,0;12;94,44;16,0;16,67;13
2024;DIARIO CLASSE TEPEC I 2B 4BIM 2024;13;7,98;9,0;0,0;10,0;12;94,44;14,0;8,33;13
2024;DIREITO A 1º B ASSIN;19;6,92;8,0;0,0;10,0;19;70,39;90,0;15,79;19
2024;DIREITO A 2ºB ASSI;19;6,84;8,0;0,0;10,0;19;70,39;90,0;26,32;19
2024;DIREITO B 1ºBIM ASSIN;11;7,62;8,0;0,0;10,0;10;82,5;28,0;10,0;11
2024;DIREITO B 2ºBIM ASSIN;11;7,0;7,5;0,0;10,0;10;87,5;28,0;10,0;11
2024;DIÁRIO 1º A I CONTABILIDADE ECON 2024 1ºBIM ASSINADO;29;4,2;5,15;0,0;9,2;28;59,69;158,0;53,57;29
2024;DIÁRIO 1º A I CONTABILIDADE ECON 2024 2ºBIM;31;2,98;1,1;0,0;9,4;29;38,51;321,0;68,97;31
2024;DIÁRIO 1º A I CONTABILIDADE ECON 2024 2ºBIM ASSINADO;31;2,98;1,1;0,0;9,4;29;38,51;321,0;68,97;31
2024;DIÁRIO 1º A I CONTABILIDADE ECON 2024 3ºBIM ASSINADO;31;2,62;0,0;0,0;8,4;30;31,85;368,0;70,0;31
2024;DIÁRIO DE CLASSE ECONOMIA POLÍTICA TURMA A QUARTO BIMESTRE ANO LETIVO 2024;16;5,16;7,0;0,0;10,0;16;65,45;76,0;37,5;16
2024;DIÁRIO DE CLASSE ECONOMIA POLÍTICA TURMA B QUARTO BIMESTRE ANO LETIVO 2024;13;7,5;7,75;6,0;9,5;12;96,82;2,0;0,0;13
2024;EC 3 BIMESTRE 2024;28;4,09;7,0;0,0;8,0;27;43,21;276,0;48,15;28
2024;ECO.MONETARIA1BIMESTRE;24;6,31;6,8;0,0;9,2;24;75,27;191,0;25,0;24
2024;ECON 2 BIMESTRE;28;4,76;8,0;0,0;8,5;27;58,02;204,0;40,74;28
2024;ECONOMETRIA - 1O BIMESTRE;19;6,52;7,0;0,0;9,0;19;76,61;160,0;10,53;19
2024;ECONOMETRIA - 2O BIMESTRE;22;6,17;7,0;0,0;8,5;22;82,54;146,0;31,82;22
2024;ECONOMETRIA - 3O BIMESTRE;22;7,59;8,0;0,0;10,0;22;75,76;192,0;9,09;22
2024;ECONOMETRIA - 4O BIMESTRE;22;8,53;9,5;0,0;10,0;22;75,4;184,0;9,09;22
2024;ECONOMIA DO MEIO AMBIENTE 1BIMESTRE;22;6,5;7,35;0,0;9,3;22;77,84;78,0;18,18;22
2024;ECONOMIA E MEIO AMBIENTE 2BIMESTRE;22;8,17;9,8;0,0;10,0;22;63,13;146,0;13,64;22
2024;ECONOMIA E MEIO AMBIENTE 3BIMESTRE;22;8,16;9,0;0,0;10,0;22;81,31;74,0;13,64;22
2024;ECONOMIA E MEIO AMBIENTE 4BIMESTRE;22;7,98;9,0;0,0;10,0;44;73,48;140,0;13,64;44
2024;ECONOMIA INDUSTRIAL REGISTRO DE CLASSE;26;6,78;7,75;0,0;10,0;52;73,93;244,0;25,0;52
2024;ECONOMIA INDUSTRIAL-1B-LAIO;26;9,06;10,0;0,0;10,0;26;96,15;20,0;3,85;26
2024;ECONOMIA INDUSTRIAL-2B-LAIO;26;8,02;8,1;0,0;10,0;26;96,15;20,0;3,85;26
2024;ECONOMIA MONETARIA 4BIMESTRE;24;8,22;9,1;0,0;9,5;24;73,4;166,0;8,33;24
2024;ECONOMIA MONETÁRIA 2BIMESTRE;24;6,73;7,65;0,0;9,7;24;64,69;322,0;16,67;24
2024;ECONOMIA MONETÁRIA 3BIMESTRE;24;7,41;8,85;0,0;9,0;24;77,94;180,0;16,67;24
2024;ECONOMIA PARANAENSE 1BIME ANDRE BECHLIN;24;5,51;5,7;0,0;8,4;24;82,08;86,0;54,17;24
2024;ECONOMIA PARANAENSE 2BIME ANDRE BECHLIN;24;6,04;6,7;0,0;9,6;24;78,75;102,0;37,5;24
2024;ECONOMIA PARANAENSE 3BIME ANDRE BECHLIN;24;7,54;9,0;0,0;9,5;24;82,87;74,0;16,67;24
2024;ECONOMIA PARANAENSE 4BIME ANDRE BECHLIN;24;7,45;9,0;0,0;10,0;24;82,14;60,0;16,67;24
2024;ECONOMIA PRIM BIM;28;5,56;7,5;0,0;7,5;27;72,02;136,0;25,93;28
2024;ECONOMIA REGIONAL URBANA 1BIME ANDRE BECHLIN;22;5,13;5,65;0,0;8,2;22;77,73;98,0;68,18;22
2024;ECONOMIA REGIONAL URBANA 2BIME ANDRE BECHLIN;22;6,75;7,55;0,0;10,0;22;74,09;114,0;27,27;22
2024;ECONOMIA REGIONAL URBANA 3BIME ANDRE BECHLIN;22;7,27;8,2;0,0;10,0;22;77,27;90,0;13,64;22
2024;ECONOMIA REGIONAL URBANA 4BIME ANDRE BECHLIN;22;8,34;9,85;0,0;10,0;22;77,27;70,0;13,64;22
2024;FORM. ECO. DO BRASIL 3BIMESTRE;12;6,73;9,15;0,0;9,9;12;76,67;56,0;33,33;12
2024;FORM. ECON. DO BRASIL 2BIMESTRE;12;6,63;7,95;0,0;9,1;12;76,85;50,0;16,67;12
2024;FORM. ECON. DO BRASIL 4BIMESTRE;12;7,92;9,0;0,0;10,0;12;78,57;36,0;16,67;12
2024;FORMAÇÃO ECONÔMICA DO BRASIL 1BIME ANDRE BECHLIN;20;5,17;5,65;0,0;8,9;20;74,5;102,0;60,0;20
2024;FORMAÇÃO ECONÔMICA DO BRASIL 2BIME ANDRE BECHLIN;20;6,17;7,65;0,0;10,0;20;68,0;128,0;25,0;20
2024;FORMAÇÃO ECONÔMICA DO BRASIL 3BIME ANDRE BECHLIN;20;6,55;8,75;0,0;9,5;20;71,67;102,0;25,0;20
2024;FORMAÇÃO ECONÔMICA DO BRASIL 4BIME ANDRE BECHLIN;20;4,42;5,05;0,0;7,8;20;73,57;74,0;65,0;20
2024;INSTITUIÇÕES DE DIREITO E DIREITO TRIBUTÁRIO;19;7,67;8,0;0,0;10,0;20;80,41;100,0;10,0;38
2024;INTRODUÇÃO ECONOMIA 1BIME ANDRE BECHLIN;29;4,8;5,95;0,0;10,0;28;70,3;316,0;50,0;29
2024;INTRODUÇÃO ECONOMIA 2BIME ANDRE BECHLIN;29;4,3;4,1;0,0;10,0;26;51,73;502,0;57,69;29
2024;INTRODUÇÃO ECONOMIA 3BIME ANDRE BECHLIN;29;4,12;0,0;0,0;10,0;26;44,44;520,0;53,85;29
2024;INTRODUÇÃO ECONOMIA 4BIME ANDRE BECHLIN;29;4,13;0,0;0,0;10,0;26;41,28;458,0;57,69;29
2024;INTRODUÇÃO À CONTABILIDADE;30;5,02;6,8;0,0;8,7;28;61,21;164,0;39,29;30
2024;INTRODUÇÃO À CONTABILIDADE (12524) CAMPUS DE CAMPO MOURÃO (BIMESTRAIS OU SEMESTRAIS);31;3,15;0,0;0,0;10,0;30;34,85;430,0;66,67;31
2024;LIVRO 2B DESENVOLVIMENTO SOCIOECONÔMICO;21;7,24;8,0;0,0;8,5;21;100,0;0,0;9,52;21
2024;LIVRO 2B EC. INTERNACIONAL;22;7,81;8,0;7,5;8,0;18;97,48;20,0;0,0;22
2024;LIVRO 2B TEPEC II PDF;26;7,94;9,25;0,0;10,0;26;84,62;116,0;15,38;26
2024;LIVRO 3B DESENVOLVIMENTO SOCIOECONÔMICO CERTO;21;8,5;8,5;8,5;8,5;21;100,0;0,0;0,0;21
2024;LIVRO 3B ECONOMIA INTERNACIONAL;22;9,05;9,0;8,5;10,0;22;100,0;0,0;0,0;22
2024;LIVRO DESENVOLVIMENTO SOCIOECONÔMICO 4B;21;8,29;9,0;4,0;10,0;21;100,0;0,0;19,05;21
2024;LIVRO ECONOMIA INTERNACIONAL 4B;22;8,5;8,5;8,5;8,5;22;100,0;0,0;0,0;22
